i,Max,Total,Free,Used (total-free),Object
1,104857600,104857600,102802032,2055568,40016
2,104857600,104857600,102762016,2095584,40016
3,104857600,104857600,102720432,2137168,41584
4,104857600,104857600,102238064,2619536,482368
5,104857600,104857600,102198048,2659552,40016
6,104857600,104857600,102158032,2699568,40016
7,104857600,104857600,102118016,2739584,40016
8,104857600,104857600,102078000,2779600,40016
9,104857600,104857600,102037984,2819616,40016
10,104857600,104857600,101997968,2859632,40016
11,104857600,104857600,101957952,2899648,40016
12,104857600,104857600,101917936,2939664,40016
13,104857600,104857600,101877920,2979680,40016
14,104857600,104857600,101837904,3019696,40016
15,104857600,104857600,101797888,3059712,40016
16,104857600,104857600,101757872,3099728,40016
17,104857600,104857600,101717856,3139744,40016
18,104857600,104857600,101677840,3179760,40016
19,104857600,104857600,101637824,3219776,40016
20,104857600,104857600,101597808,3259792,40016
21,104857600,104857600,101557792,3299808,40016
22,104857600,104857600,101517776,3339824,40016
23,104857600,104857600,101477760,3379840,40016
24,104857600,104857600,101437744,3419856,40016
25,104857600,104857600,101397728,3459872,40016
26,104857600,104857600,101357712,3499888,40016
27,104857600,104857600,101317696,3539904,40016
28,104857600,104857600,100795336,4062264,522360
29,104857600,104857600,100669280,4188320,126056
30,104857600,104857600,100629264,4228336,40016
31,104857600,104857600,100100920,4756680,528344
32,104857600,104857600,99614720,5242880,486200
33,104857600,104857600,99574704,5282896,40016
34,104857600,104857600,99092336,5765264,482368
35,104857600,104857600,99052320,5805280,40016
36,104857600,104857600,99012304,5845296,40016
37,104857600,104857600,98972288,5885312,40016
38,104857600,104857600,98932272,5925328,40016
39,104857600,104857600,98892256,5965344,40016
40,104857600,104857600,98852240,6005360,40016
41,104857600,104857600,98812224,6045376,40016
42,104857600,104857600,98772208,6085392,40016
43,104857600,104857600,98732192,6125408,40016
44,104857600,104857600,98692176,6165424,40016
45,104857600,104857600,98652160,6205440,40016
46,104857600,104857600,98612144,6245456,40016
47,104857600,104857600,98572128,6285472,40016
48,104857600,104857600,98532112,6325488,40016
49,104857600,104857600,98492096,6365504,40016
50,104857600,104857600,98452080,6405520,40016
51,104857600,104857600,98412064,6445536,40016
52,104857600,104857600,98372048,6485552,40016
53,104857600,104857600,98332032,6525568,40016
54,104857600,104857600,98292016,6565584,40016
55,104857600,104857600,98252000,6605600,40016
56,104857600,104857600,98211984,6645616,40016
57,104857600,104857600,98171968,6685632,40016
58,104857600,104857600,97649608,7207992,522360
59,104857600,104857600,97523552,7334048,126056
60,104857600,104857600,97483536,7374064,40016
61,104857600,104857600,96955192,7902408,528344
62,104857600,104857600,96468992,8388608,486200
63,104857600,104857600,96428976,8428624,40016
64,104857600,104857600,95946608,8910992,482368
65,104857600,104857600,95906592,8951008,40016
66,104857600,104857600,95866576,8991024,40016
67,104857600,104857600,95826560,9031040,40016
68,104857600,104857600,95786544,9071056,40016
69,104857600,104857600,95746528,9111072,40016
70,104857600,104857600,95706512,9151088,40016
71,104857600,104857600,95666496,9191104,40016
72,104857600,104857600,95626480,9231120,40016
73,104857600,104857600,95586464,9271136,40016
74,104857600,104857600,95546448,9311152,40016
75,104857600,104857600,95506432,9351168,40016
76,104857600,104857600,95466416,9391184,40016
77,104857600,104857600,95426400,9431200,40016
78,104857600,104857600,95386384,9471216,40016
79,104857600,104857600,95346368,9511232,40016
80,104857600,104857600,95306352,9551248,40016
81,104857600,104857600,95266336,9591264,40016
82,104857600,104857600,95226320,9631280,40016
83,104857600,104857600,95186304,9671296,40016
84,104857600,104857600,95146288,9711312,40016
85,104857600,104857600,95106272,9751328,40016
86,104857600,104857600,95066256,9791344,40016
87,104857600,104857600,95026240,9831360,40016
88,104857600,104857600,94503880,10353720,522360
89,104857600,104857600,94377824,10479776,126056
90,104857600,104857600,94337808,10519792,40016
91,104857600,104857600,93809464,11048136,528344
92,104857600,104857600,93323264,11534336,486200
93,104857600,104857600,93283248,11574352,40016
94,104857600,104857600,92800880,12056720,482368
95,104857600,104857600,92760864,12096736,40016
96,104857600,104857600,92720848,12136752,40016
97,104857600,104857600,92680832,12176768,40016
98,104857600,104857600,92640816,12216784,40016
99,104857600,104857600,92600800,12256800,40016
100,104857600,104857600,92560784,12296816,40016
101,104857600,104857600,92520768,12336832,40016
102,104857600,104857600,92480752,12376848,40016
103,104857600,104857600,92440736,12416864,40016
104,104857600,104857600,92400720,12456880,40016
105,104857600,104857600,92360704,12496896,40016
106,104857600,104857600,92320688,12536912,40016
107,104857600,104857600,92280672,12576928,40016
108,104857600,104857600,92240656,12616944,40016
109,104857600,104857600,92200640,12656960,40016
110,104857600,104857600,92160624,12696976,40016
111,104857600,104857600,92120608,12736992,40016
112,104857600,104857600,92080592,12777008,40016
113,104857600,104857600,92040576,12817024,40016
114,104857600,104857600,92000560,12857040,40016
115,104857600,104857600,91960544,12897056,40016
116,104857600,104857600,91920528,12937072,40016
117,104857600,104857600,91880512,12977088,40016
118,104857600,104857600,91358152,13499448,522360
119,104857600,104857600,91318136,13539464,40016
120,104857600,104857600,91278120,13579480,40016
121,104857600,104857600,91238104,13619496,40016
122,104857600,104857600,91192104,13665496,46000
123,104857600,104857600,91152088,13705512,40016
124,104857600,104857600,91112072,13745528,40016
125,104857600,104857600,91072056,13785544,40016
126,104857600,104857600,91032040,13825560,40016
127,104857600,104857600,90992024,13865576,40016
128,104857600,104857600,90952008,13905592,40016
129,104857600,104857600,90911992,13945608,40016
130,104857600,104857600,90871976,13985624,40016
131,104857600,104857600,90831960,14025640,40016
132,104857600,104857600,90791944,14065656,40016
133,104857600,104857600,90751928,14105672,40016
134,104857600,104857600,90711912,14145688,40016
135,104857600,104857600,90671896,14185704,40016
136,104857600,104857600,90631880,14225720,40016
137,104857600,104857600,90591864,14265736,40016
138,104857600,104857600,90551848,14305752,40016
139,104857600,104857600,90511832,14345768,40016
140,104857600,104857600,90471816,14385784,40016
141,104857600,104857600,90431800,14425800,40016
142,104857600,104857600,90391784,14465816,40016
143,104857600,104857600,90183544,14674056,208240
144,104857600,104857600,90143528,14714072,40016
145,104857600,104857600,89615160,15242440,528368
146,104857600,104857600,89128960,15728640,486200
147,104857600,104857600,89088944,15768656,40016
148,104857600,104857600,88606576,16251024,482368
149,104857600,104857600,88566560,16291040,40016
150,104857600,104857600,88526544,16331056,40016
151,104857600,104857600,88486528,16371072,40016
152,104857600,104857600,88446512,16411088,40016
153,104857600,104857600,88406496,16451104,40016
154,104857600,104857600,88366480,16491120,40016
155,104857600,104857600,88326464,16531136,40016
156,104857600,104857600,88286448,16571152,40016
157,104857600,104857600,88246432,16611168,40016
158,104857600,104857600,88206416,16651184,40016
159,104857600,104857600,88166400,16691200,40016
160,104857600,104857600,88126384,16731216,40016
161,104857600,104857600,88086368,16771232,40016
162,104857600,104857600,88046352,16811248,40016
163,104857600,104857600,88006336,16851264,40016
164,104857600,104857600,87966320,16891280,40016
165,104857600,104857600,87926304,16931296,40016
166,104857600,104857600,87886288,16971312,40016
167,104857600,104857600,87846272,17011328,40016
168,104857600,104857600,87806256,17051344,40016
169,104857600,104857600,87766240,17091360,40016
170,104857600,104857600,87726224,17131376,40016
171,104857600,104857600,87686208,17171392,40016
172,104857600,104857600,87163848,17693752,522360
173,104857600,104857600,87037792,17819808,126056
174,104857600,104857600,86997776,17859824,40016
175,104857600,104857600,86469432,18388168,528344
176,104857600,104857600,85983232,18874368,486200
177,104857600,104857600,85943216,18914384,40016
178,104857600,104857600,85460848,19396752,482368
179,104857600,104857600,85420832,19436768,40016
180,104857600,104857600,85380816,19476784,40016
181,104857600,104857600,85340800,19516800,40016
182,104857600,104857600,85300784,19556816,40016
183,104857600,104857600,85260768,19596832,40016
184,104857600,104857600,85220752,19636848,40016
185,104857600,104857600,85180736,19676864,40016
186,104857600,104857600,85140720,19716880,40016
187,104857600,104857600,85100704,19756896,40016
188,104857600,104857600,85060688,19796912,40016
189,104857600,104857600,85020672,19836928,40016
190,104857600,104857600,84980656,19876944,40016
191,104857600,104857600,84940640,19916960,40016
192,104857600,104857600,84900624,19956976,40016
193,104857600,104857600,84860608,19996992,40016
194,104857600,104857600,84820592,20037008,40016
195,104857600,104857600,84780576,20077024,40016
196,104857600,104857600,84740560,20117040,40016
197,104857600,104857600,84700544,20157056,40016
198,104857600,104857600,84660528,20197072,40016
199,104857600,104857600,84620512,20237088,40016
200,104857600,104857600,84580496,20277104,40016
201,104857600,104857600,84540480,20317120,40016
202,104857600,104857600,84018120,20839480,522360
203,104857600,104857600,83892064,20965536,126056
204,104857600,104857600,83852048,21005552,40016
205,104857600,104857600,83323704,21533896,528344
206,104857600,104857600,82837504,22020096,486200
207,104857600,104857600,82797488,22060112,40016
208,104857600,104857600,82315120,22542480,482368
209,104857600,104857600,82275104,22582496,40016
210,104857600,104857600,82235088,22622512,40016
211,104857600,104857600,82195072,22662528,40016
212,104857600,104857600,82155056,22702544,40016
213,104857600,104857600,82115040,22742560,40016
214,104857600,104857600,82075024,22782576,40016
215,104857600,104857600,82035008,22822592,40016
216,104857600,104857600,81994992,22862608,40016
217,104857600,104857600,81954976,22902624,40016
218,104857600,104857600,81914960,22942640,40016
219,104857600,104857600,81874944,22982656,40016
220,104857600,104857600,81834928,23022672,40016
221,104857600,104857600,81794912,23062688,40016
222,104857600,104857600,81754896,23102704,40016
223,104857600,104857600,81714880,23142720,40016
224,104857600,104857600,81674864,23182736,40016
225,104857600,104857600,81634848,23222752,40016
226,104857600,104857600,81594832,23262768,40016
227,104857600,104857600,81554816,23302784,40016
228,104857600,104857600,81514800,23342800,40016
229,104857600,104857600,81474784,23382816,40016
230,104857600,104857600,81434768,23422832,40016
231,104857600,104857600,81394752,23462848,40016
232,104857600,104857600,80872392,23985208,522360
233,104857600,104857600,80746336,24111264,126056
234,104857600,104857600,82117040,22740560,-1370704
235,104857600,104857600,81708328,23149272,408712
236,104857600,104857600,81259624,23597976,448704
237,104857600,104857600,81219608,23637992,40016
238,104857600,104857600,81108480,23749120,111128
239,104857600,104857600,81068464,23789136,40016
240,104857600,104857600,81028448,23829152,40016
241,104857600,104857600,80988432,23869168,40016
242,104857600,104857600,80948416,23909184,40016
243,104857600,104857600,80908400,23949200,40016
244,104857600,104857600,80868384,23989216,40016
245,104857600,104857600,80828368,24029232,40016
246,104857600,104857600,80788352,24069248,40016
247,104857600,104857600,80748336,24109264,40016
248,104857600,104857600,80708320,24149280,40016
249,104857600,104857600,80668304,24189296,40016
250,104857600,104857600,80628288,24229312,40016
251,104857600,104857600,80588272,24269328,40016
252,104857600,104857600,80548256,24309344,40016
253,104857600,104857600,80508240,24349360,40016
254,104857600,104857600,80468224,24389376,40016
255,104857600,104857600,80428208,24429392,40016
256,104857600,104857600,80059904,24797696,368304
257,104857600,104857600,80019888,24837712,40016
258,104857600,104857600,79611176,25246424,408712
259,104857600,104857600,79162472,25695128,448704
260,104857600,104857600,79122456,25735144,40016
261,104857600,104857600,79011328,25846272,111128
262,104857600,104857600,78971312,25886288,40016
263,104857600,104857600,78931296,25926304,40016
264,104857600,104857600,78891280,25966320,40016
265,104857600,104857600,78851264,26006336,40016
266,104857600,104857600,78811248,26046352,40016
267,104857600,104857600,78771232,26086368,40016
268,104857600,104857600,78731216,26126384,40016
269,104857600,104857600,78691200,26166400,40016
270,104857600,104857600,78651184,26206416,40016
271,104857600,104857600,78611168,26246432,40016
272,104857600,104857600,78571152,26286448,40016
273,104857600,104857600,78531136,26326464,40016
274,104857600,104857600,78491120,26366480,40016
275,104857600,104857600,78451104,26406496,40016
276,104857600,104857600,78411088,26446512,40016
277,104857600,104857600,78371072,26486528,40016
278,104857600,104857600,78331056,26526544,40016
279,104857600,104857600,77962752,26894848,368304
280,104857600,104857600,77922736,26934864,40016
281,104857600,104857600,77514024,27343576,408712
282,104857600,104857600,77065320,27792280,448704
283,104857600,104857600,77025304,27832296,40016
284,104857600,104857600,76914176,27943424,111128
285,104857600,104857600,76874160,27983440,40016
286,104857600,104857600,76834144,28023456,40016
287,104857600,104857600,76794128,28063472,40016
288,104857600,104857600,76754112,28103488,40016
289,104857600,104857600,76714096,28143504,40016
290,104857600,104857600,76674080,28183520,40016
291,104857600,104857600,76634064,28223536,40016
292,104857600,104857600,76594048,28263552,40016
293,104857600,104857600,76554032,28303568,40016
294,104857600,104857600,76514016,28343584,40016
295,104857600,104857600,76474000,28383600,40016
296,104857600,104857600,76433984,28423616,40016
297,104857600,104857600,76393968,28463632,40016
298,104857600,104857600,76353952,28503648,40016
299,104857600,104857600,76313936,28543664,40016
300,104857600,104857600,76273920,28583680,40016
301,104857600,104857600,76233904,28623696,40016
302,104857600,104857600,75865600,28992000,368304
303,104857600,104857600,75825584,29032016,40016
304,104857600,104857600,75416872,29440728,408712
305,104857600,104857600,74968168,29889432,448704
306,104857600,104857600,74928152,29929448,40016
307,104857600,104857600,74817024,30040576,111128
308,104857600,104857600,74777008,30080592,40016
309,104857600,104857600,74736992,30120608,40016
310,104857600,104857600,74696976,30160624,40016
311,104857600,104857600,74656960,30200640,40016
312,104857600,104857600,74616944,30240656,40016
313,104857600,104857600,74576928,30280672,40016
314,104857600,104857600,74536912,30320688,40016
315,104857600,104857600,74496896,30360704,40016
316,104857600,104857600,74456880,30400720,40016
317,104857600,104857600,74416864,30440736,40016
318,104857600,104857600,74376848,30480752,40016
319,104857600,104857600,74336832,30520768,40016
320,104857600,104857600,74296816,30560784,40016
321,104857600,104857600,74256800,30600800,40016
322,104857600,104857600,74216784,30640816,40016
323,104857600,104857600,74176768,30680832,40016
324,104857600,104857600,74136752,30720848,40016
325,104857600,104857600,73768448,31089152,368304
326,104857600,104857600,73728432,31129168,40016
327,104857600,104857600,73319720,31537880,408712
328,104857600,104857600,72871016,31986584,448704
329,104857600,104857600,72831000,32026600,40016
330,104857600,104857600,72719872,32137728,111128
331,104857600,104857600,72679856,32177744,40016
332,104857600,104857600,72639840,32217760,40016
333,104857600,104857600,72599824,32257776,40016
334,104857600,104857600,72559808,32297792,40016
335,104857600,104857600,72519792,32337808,40016
336,104857600,104857600,72479776,32377824,40016
337,104857600,104857600,72439760,32417840,40016
338,104857600,104857600,72399744,32457856,40016
339,104857600,104857600,72359728,32497872,40016
340,104857600,104857600,72319712,32537888,40016
341,104857600,104857600,72279696,32577904,40016
342,104857600,104857600,72239680,32617920,40016
343,104857600,104857600,72199664,32657936,40016
344,104857600,104857600,72159648,32697952,40016
345,104857600,104857600,72119632,32737968,40016
346,104857600,104857600,72079616,32777984,40016
347,104857600,104857600,72039600,32818000,40016
348,104857600,104857600,71671296,33186304,368304
349,104857600,104857600,71631280,33226320,40016
350,104857600,104857600,71222568,33635032,408712
351,104857600,104857600,70773864,34083736,448704
352,104857600,104857600,70733848,34123752,40016
353,104857600,104857600,70622720,34234880,111128
354,104857600,104857600,70582704,34274896,40016
355,104857600,104857600,70542688,34314912,40016
356,104857600,104857600,70502672,34354928,40016
357,104857600,104857600,70462656,34394944,40016
358,104857600,104857600,70422640,34434960,40016
359,104857600,104857600,70382624,34474976,40016
360,104857600,104857600,70342608,34514992,40016
361,104857600,104857600,70302592,34555008,40016
362,104857600,104857600,70262576,34595024,40016
363,104857600,104857600,70222560,34635040,40016
364,104857600,104857600,70182544,34675056,40016
365,104857600,104857600,70142528,34715072,40016
366,104857600,104857600,70102512,34755088,40016
367,104857600,104857600,70062496,34795104,40016
368,104857600,104857600,70022480,34835120,40016
369,104857600,104857600,69982464,34875136,40016
370,104857600,104857600,69942448,34915152,40016
371,104857600,104857600,69574144,35283456,368304
372,104857600,104857600,69534128,35323472,40016
373,104857600,104857600,69125416,35732184,408712
374,104857600,104857600,68676712,36180888,448704
375,104857600,104857600,68636696,36220904,40016
376,104857600,104857600,68525568,36332032,111128
377,104857600,104857600,68485552,36372048,40016
378,104857600,104857600,68445536,36412064,40016
379,104857600,104857600,68405520,36452080,40016
380,104857600,104857600,68365504,36492096,40016
381,104857600,104857600,68325488,36532112,40016
382,104857600,104857600,68285472,36572128,40016
383,104857600,104857600,68245456,36612144,40016
384,104857600,104857600,68205440,36652160,40016
385,104857600,104857600,68165424,36692176,40016
386,104857600,104857600,68125408,36732192,40016
387,104857600,104857600,68085392,36772208,40016
388,104857600,104857600,68045376,36812224,40016
389,104857600,104857600,68005360,36852240,40016
390,104857600,104857600,67965344,36892256,40016
391,104857600,104857600,67925328,36932272,40016
392,104857600,104857600,67885312,36972288,40016
393,104857600,104857600,67845296,37012304,40016
394,104857600,104857600,67476992,37380608,368304
395,104857600,104857600,67677104,37180496,-200112
396,104857600,104857600,67389600,37468000,287504
397,104857600,104857600,67062104,37795496,327496
398,104857600,104857600,67022088,37835512,40016
399,104857600,104857600,66694592,38163008,327496
400,104857600,104857600,66654576,38203024,40016
401,104857600,104857600,66327080,38530520,327496
402,104857600,104857600,66287064,38570536,40016
403,104857600,104857600,65959568,38898032,327496
404,104857600,104857600,65919552,38938048,40016
405,104857600,104857600,65646016,39211584,273536
406,104857600,104857600,65606000,39251600,40016
407,104857600,104857600,65565984,39291616,40016
408,104857600,104857600,65525968,39331632,40016
409,104857600,104857600,65485952,39371648,40016
410,104857600,104857600,65445936,39411664,40016
411,104857600,104857600,65405920,39451680,40016
412,104857600,104857600,65365904,39491696,40016
413,104857600,104857600,65325888,39531712,40016
414,104857600,104857600,65285872,39571728,40016
415,104857600,104857600,65245856,39611744,40016
416,104857600,104857600,65205840,39651760,40016
417,104857600,104857600,65165824,39691776,40016
418,104857600,104857600,65125808,39731792,40016
419,104857600,104857600,65085792,39771808,40016
420,104857600,104857600,65045776,39811824,40016
421,104857600,104857600,65005760,39851840,40016
422,104857600,104857600,64965744,39891856,40016
423,104857600,104857600,64925728,39931872,40016
424,104857600,104857600,64885712,39971888,40016
425,104857600,104857600,64845696,40011904,40016
426,104857600,104857600,64597440,40260160,248256
427,104857600,104857600,64557424,40300176,40016
428,104857600,104857600,64517408,40340192,40016
429,104857600,104857600,64189912,40667688,327496
430,104857600,104857600,64149896,40707704,40016
431,104857600,104857600,63822400,41035200,327496
432,104857600,104857600,63782384,41075216,40016
433,104857600,104857600,63548864,41308736,233520
434,104857600,104857600,63508848,41348752,40016
435,104857600,104857600,63468832,41388768,40016
436,104857600,104857600,63428816,41428784,40016
437,104857600,104857600,63388800,41468800,40016
438,104857600,104857600,63348784,41508816,40016
439,104857600,104857600,63308768,41548832,40016
440,104857600,104857600,63268752,41588848,40016
441,104857600,104857600,63228736,41628864,40016
442,104857600,104857600,63188720,41668880,40016
443,104857600,104857600,63148704,41708896,40016
444,104857600,104857600,63108688,41748912,40016
445,104857600,104857600,63068672,41788928,40016
446,104857600,104857600,63028656,41828944,40016
447,104857600,104857600,62988640,41868960,40016
448,104857600,104857600,62948624,41908976,40016
449,104857600,104857600,62908608,41948992,40016
450,104857600,104857600,62868592,41989008,40016
451,104857600,104857600,62828576,42029024,40016
452,104857600,104857600,62788560,42069040,40016
453,104857600,104857600,62748544,42109056,40016
454,104857600,104857600,62500288,42357312,248256
455,104857600,104857600,62460272,42397328,40016
456,104857600,104857600,62420256,42437344,40016
457,104857600,104857600,62092760,42764840,327496
458,104857600,104857600,62052744,42804856,40016
459,104857600,104857600,61725248,43132352,327496
460,104857600,104857600,61685232,43172368,40016
461,104857600,104857600,61451712,43405888,233520
462,104857600,104857600,61411696,43445904,40016
463,104857600,104857600,61371680,43485920,40016
464,104857600,104857600,61331664,43525936,40016
465,104857600,104857600,61291648,43565952,40016
466,104857600,104857600,61251632,43605968,40016
467,104857600,104857600,61211616,43645984,40016
468,104857600,104857600,61171600,43686000,40016
469,104857600,104857600,61131584,43726016,40016
470,104857600,104857600,61091568,43766032,40016
471,104857600,104857600,61051552,43806048,40016
472,104857600,104857600,61011536,43846064,40016
473,104857600,104857600,60971520,43886080,40016
474,104857600,104857600,60931504,43926096,40016
475,104857600,104857600,60891488,43966112,40016
476,104857600,104857600,60851472,44006128,40016
477,104857600,104857600,60811456,44046144,40016
